cmpd_usgs,state_alpha,state_fips,year,Categories,value,crop_usgs,kg_ha,unsurveyed,noncrop,coverage
IMIDACLOPRID,PA,42,2012,Flaxseed,32,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Safflower,33,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Rape Seed,34,Other_crops,0.009434852,0,0,3
IMIDACLOPRID,PA,42,2012,Mustard,35,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Alfalfa,36,Alfalfa,NA,0,0,3
IMIDACLOPRID,PA,42,2012,Other Hay/Non Alfalfa,37,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,PA,42,2012,Camelina,38,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Buckwheat,39,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Sugarbeets,41,Other_crops,0.009434852,0,0,3
IMIDACLOPRID,PA,42,2012,Dry Beans,42,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Potatoes,43,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Other Crops,44,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Sugarcane,45,Other_crops,0.009434852,0,0,3
IMIDACLOPRID,PA,42,2012,Sweet Potatoes,46,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Misc Vegs & Fruits,47,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Watermelons,48,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Onions,49,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Cucumbers,50,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Chick Peas,51,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Lentils,52,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Peas,53,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Tomatoes,54,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Caneberries,55,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Hops,56,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Herbs,57,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Clover/Wildflowers,58,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Sod/Grass Seed,59,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Switchgrass,60,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Fallow/Idle Cropland,61,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,PA,42,2012,Pasture/Grass,62,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,PA,42,2012,Forest,63,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Shrubland,64,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Barren,65,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Cherries,66,Orchards_and_grapes,0.04070599,0,0,3
IMIDACLOPRID,PA,42,2012,Peaches,67,Orchards_and_grapes,0.04070599,0,0,3
IMIDACLOPRID,PA,42,2012,Apples,68,Orchards_and_grapes,0.04070599,0,0,3
IMIDACLOPRID,PA,42,2012,Grapes,69,Orchards_and_grapes,0.04070599,0,0,3
IMIDACLOPRID,PA,42,2012,Christmas Trees,70,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Other Tree Crops,71,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Citrus,72,Orchards_and_grapes,0.04070599,0,0,3
IMIDACLOPRID,PA,42,2012,Pecans,74,Orchards_and_grapes,0.04070599,0,0,3
IMIDACLOPRID,PA,42,2012,Almonds,75,Orchards_and_grapes,0.04070599,0,0,3
IMIDACLOPRID,PA,42,2012,Walnuts,76,Orchards_and_grapes,0.04070599,0,0,3
IMIDACLOPRID,PA,42,2012,Pears,77,Orchards_and_grapes,0.04070599,0,0,3
IMIDACLOPRID,PA,42,2012,Water,83,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Wetlands,87,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Aquaculture,92,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Open Water,111,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Perennial Ice/Snow,112,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Developed/Open Space,121,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Developed/Low Intensity,122,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Developed/Med Intensity,123,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Developed/High Intensity,124,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Barren,131,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Deciduous Forest,141,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Evergreen Forest,142,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Mixed Forest,143,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Shrubland,152,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Grassland Herbaceous,171,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Grassland/Pasture,176,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,PA,42,2012,Pasture/Hay,181,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,PA,42,2012,Woody Wetlands,190,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Herbaceous Wetlands,195,Non_crop,NA,0,1,1
IMIDACLOPRID,PA,42,2012,Pistachios,204,Orchards_and_grapes,0.04070599,0,0,3
IMIDACLOPRID,PA,42,2012,Triticale,205,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Carrots,206,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Asparagus,207,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Garlic,208,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Cantaloupes,209,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Prunes,210,Orchards_and_grapes,0.04070599,0,0,3
IMIDACLOPRID,PA,42,2012,Olives,211,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Oranges,212,Orchards_and_grapes,0.04070599,0,0,3
IMIDACLOPRID,PA,42,2012,Honeydew Melons,213,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Broccoli,214,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Peppers,216,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Pomegranates,217,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Nectarines,218,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Greens,219,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Plums,220,Orchards_and_grapes,0.04070599,0,0,3
IMIDACLOPRID,PA,42,2012,Strawberries,221,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Squash,222,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Apricots,223,Orchards_and_grapes,0.04070599,0,0,3
IMIDACLOPRID,PA,42,2012,Vetch,224,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Dbl Crop WinWht/Corn,225,Double,0.00138943724080039,0,0,3
IMIDACLOPRID,PA,42,2012,Dbl Crop Oats/Corn,226,Double,0.00118625524460887,0.5,0,3
IMIDACLOPRID,PA,42,2012,Lettuce,227,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Pumpkins,229,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Dbl Crop Lettuce/Durum Wht,230,Double,0.0520112519961915,0,0,3
IMIDACLOPRID,PA,42,2012,Dbl Crop Lettuce/Cantaloupe,231,Double,0.10361614,0,0,3
IMIDACLOPRID,PA,42,2012,Dbl Crop Lettuce/Cotton,232,Double,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Dbl Crop Lettuce/Barley,233,Double,0.061242922,0,0,3
IMIDACLOPRID,PA,42,2012,Dbl Crop Durum Wht/Sorghum,234,Double,0.00963803399619152,0,0,3
IMIDACLOPRID,PA,42,2012,Dbl Crop Barley/Sorghum,235,Double,0.018869704,0,0,3
IMIDACLOPRID,PA,42,2012,Dbl Crop WinWht/Sorghum,236,Double,0.00963803399619152,0,0,3
IMIDACLOPRID,PA,42,2012,Dbl Crop Barley/Corn,237,Double,0.0106211072446089,0,0,3
IMIDACLOPRID,PA,42,2012,Dbl Crop WinWht/Cotton,238,Double,2.03181996191521e-4,0,0,3
IMIDACLOPRID,PA,42,2012,Dbl Crop Soybeans/Cotton,239,Double,0.00479881860992535,0,0,3
IMIDACLOPRID,PA,42,2012,Dbl Crop Soybeans/Oats,240,Double,0.00479881860992535,0.5,0,3
IMIDACLOPRID,PA,42,2012,Dbl Crop Corn/Soybeans,241,Double,0.00598507385453422,0,0,3
IMIDACLOPRID,PA,42,2012,Blueberries,242,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Cabbage,243,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Cauliflower,244,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Celery,245,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Radishes,246,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Turnips,247,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Eggplants,248,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Gourds,249,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Cranberries,250,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Dbl Crop Barley/Soybeans,254,Double,0.0142336706099254,0,0,3
